R_nm,psi_mV
1.0,10.669391606062419
1.1919191919191918,14.147677280089924
1.3838383838383839,17.850632121872135
1.5757575757575757,21.71424752043717
1.7676767676767677,25.68114055749892
1.9595959595959596,29.697973082556405
2.1515151515151514,33.714067311842484
2.3434343434343434,37.681121987576404
2.5353535353535355,41.55390410914407
2.727272727272727,45.291668286586244
2.919191919191919,48.8598974238677
3.111111111111111,52.231861797500414
3.3030303030303028,55.3895438022377
3.494949494949495,58.32368057574401
3.686868686868687,61.032950388657056
3.8787878787878785,63.52254915604214
4.070707070707071,65.8024945100303
4.262626262626263,67.88596047225536
4.454545454545454,69.78784234823657
4.646464646464646,71.5236397566792
4.838383838383838,73.10866165406352
5.03030303030303,74.5575097917137
5.222222222222222,75.8837794187381
5.4141414141414135,77.0999168290231
5.6060606060606055,78.21718280804538
5.797979797979798,79.24568289409079
5.98989898989899,80.19443639474471
6.181818181818182,81.07146505183265
6.373737373737374,81.88388895446236
6.565656565656565,82.63802205631869
6.757575757575757,83.33946288782592
6.949494949494949,83.99317817551395
7.141414141414141,84.6035784239438
7.333333333333333,85.17458533139376
7.525252525252525,85.70969137936888
7.717171717171717,86.21201218200997
7.909090909090908,86.68433228876182
8.1010101010101,87.12914515714475
8.292929292929292,87.54868798801289
8.484848484848484,87.94497206581372
8.676767676767676,88.31980918509879
8.868686868686869,88.67483468024922
9.06060606060606,89.01152751286713
9.252525252525253,89.33122781323303
9.444444444444445,89.63515221943648
9.636363636363635,89.92440731126892
9.828282828282827,90.20000139477067
10.020202020202019,90.4628548577499
10.212121212121211,90.71380928568954
10.404040404040403,90.95363550109236
10.595959595959595,91.18304066617554
10.787878787878787,91.40267456977921
10.97979797979798,91.61313520226744
11.171717171717171,91.8149737081081
11.363636363636363,92.00869879352113
11.555555555555555,92.19478065618907
11.747474747474747,92.37365449493039
11.93939393939394,92.54572364972341
12.13131313131313,92.7113624157319
12.323232323232322,92.8709185693891
12.515151515151514,93.02471563969988
12.707070707070706,93.17305495369041
12.898989898989898,93.3162174814331
13.09090909090909,93.4544655026651
13.282828282828282,93.58804411466231
13.474747474747474,93.71718259838107
13.666666666666666,93.84209565798574
13.858585858585858,93.96298454705007
14.05050505050505,94.08003809320702
14.242424242424242,94.1934336316016
14.434343434343434,94.30333785640426
14.626262626262625,94.40990759853682
14.818181818181817,94.51329053688994
15.010101010101009,94.61362584950452
15.2020202020202,94.71104481046903
15.393939393939393,94.80567133774585
15.585858585858585,94.89762249642358
15.777777777777777,94.98700896163254
15.969696969696969,95.07393544474992
16.16161616161616,95.15850108623876
16.353535353535353,95.24079981809362
16.545454545454547,95.3209206985975
16.737373737373737,95.39894822177588
16.929292929292927,95.47496260376451
17.12121212121212,95.54904004804298
17.31313131313131,95.62125299132288
17.505050505050505,95.69167033170743
17.696969696969695,95.76035764056633
17.88888888888889,95.82737735951746
18.08080808080808,95.89278898360992
18.27272727272727,95.95664923192146
18.464646464646464,96.0190122064977
18.656565656565654,96.07992954056819
18.848484848484848,96.13945053685875
19.040404040404038,96.19762229678155
19.232323232323232,96.25448984115465
19.424242424242422,96.31009622312698
19.616161616161616,96.36448263386312
19.808080808080806,96.41768850152886
20.0,96.4697515840657
