lipid_concentration,target_length_um,target_time_s,radius_at_mixing_time_nm,target_combined_length_um
10 mM,3.9,0.2151123430182167,10.7800373706856,3.960523996889485
10 mM,2.9,0.1153783299629662,10.419571663595026,2.932528048172317
10 mM,2.3,0.0700957009116563,10.12845436028522,2.307052197603845
5 mM,3.9,0.2063617767863856,10.354516375871802,3.9298925838924963
5 mM,2.9,0.1106848488549412,9.989559057388034,2.912339585199623
5 mM,2.3,0.0700957009116563,9.719529985622136,2.338983543602235
