time_s,radius_nm_10mM,radius_nm_5mM
1e-09,3.0,3.0
1.0424040070215579e-09,3.000031130884943,3.0000155656103593
1.0866061138545958e-09,3.00006358041447,3.0000317909075354
1.1326825671361538e-09,3.0000974043807034,3.0000487038339525
1.1807128466661915e-09,3.0001326609308805,3.0000663335142277
1.2307798025066632e-09,3.000169410666295,3.000084710305071
1.2829697978941476e-09,3.000207716745355,3.0001038658472767
1.3373728582124977e-09,3.0002476449909254,3.0001238331199014
1.3940828262825757e-09,3.000289264002125,3.0001446464967154
1.4531975242368954e-09,3.0003326452707664,3.0001663418050204
1.5148189222583473e-09,3.000377863302619,3.0001889563869355
1.5790533144741727e-09,3.0004249957436957,3.000212529163249
1.6460115023085497e-09,3.0004741235117627,3.000237100699949
1.7158089856100066e-09,3.0005253309332836,3.000262713277535
1.7885661618834655e-09,3.000578705886017,3.000289410963232
1.864408533970485e-09,3.0006343399474944,3.000317239686226
1.9434669265360222e-09,3.000692328549607,3.000346247316039
2.0258777117350212e-09,3.000752771139557,3.0003764837441858
2.111783044448242e-09,3.000815771347416,3.0004080009692284
2.2013311074930324e-09,3.0008814371605537,3.0004408531853897
2.294676367231941e-09,3.0009498811052135,3.000475096874853
2.3919798400202373e-09,3.0010212204355122,3.0005107909039093
2.4934093699518803e-09,3.0010955773301538,3.0005479966231063
2.5991399183829382e-09,3.001173079097166,3.000586777971561
2.7093538657320487e-09,3.0012538583869586,3.0006272015856092
2.8242413260784357e-09,3.0013380534140466,3.0006693369119626
2.94400047510004e-09,3.00142580818775,3.0007132563255636
3.068837891917639e-09,3.001517272752233,3.0007590352523197
3.198968915434538e-09,3.0016126034362354,3.000806752296921
3.3346180157863693e-09,3.001711963112857,3.000856489375945
3.476019181541974e-09,3.00181552146979,3.0009083318564547
3.6234163233231498e-09,3.0019234552903873,3.0009623687003244
3.777063694539372e-09,3.0020359487459647,3.001018692614504
3.9372263299634755e-09,3.0021531936997716,3.001077400207477
4.10418050290471e-09,3.002275390023051,3.001138592152142
4.278214201767621e-09,3.002402745923639,3.001202373355392
4.459627626819087e-09,3.0025354782875553,3.0012688531346345
4.648733708020257e-09,3.002673813034068,3.0013381454015455
4.8458586448165004e-09,3.0028179854847057,3.001410368853332
5.051342468816756e-09,3.0029682407467213,3.0014856471717954
5.2655396303327555e-09,3.003124834111517,3.001564109230511
5.4888196097896775e-09,3.0032880314685557,3.0016458893104274
5.72156755506324e-09,3.003458109735298,3.0017311273242195
5.9641849458424594e-09,3.003635357303709,3.001819969049732
6.217090286163834e-09,3.0038200745039085,3.001912566372855
6.480719826311958e-09,3.0040125740855306,3.002009077540211
6.755528315331639e-09,3.004213181717384,3.0021096674219985
7.041989785449296e-09,3.0044222365060125,3.0022145077854057
7.340598369757197e-09,3.0046400915337648,3.0023237775789737
7.651869154570818e-09,3.004867114416991,3.002437663228322
7.976339067929282e-09,3.0051036878849966,3.002556358943667
8.314567805772081e-09,3.0053502103803895,3.002680067039559
8.667138797389225e-09,3.0056070966814685,3.0028089982672963
9.034660211810535e-09,3.0058747785472932,3.002943372160468
9.417766006869538e-09,3.0061537053861027,3.0030834173941128
9.817117022752184e-09,3.0064443449477305,3.0032293721579726
1.0233402121916422e-08,3.0067471840406754,3.0033814845443483
1.066733937734857e-08,3.007062729274491,3.00354001295107
1.1119677311206978e-08,3.007391507828138,3.003705226500113
1.1591196185988856e-08,3.0077340682449574,3.0038774054724007
1.208270935044776e-08,3.008090981254895,3.004056841759345
1.2595064642583589e-08,3.0084628406246092,3.0042438393316977
1.3129145852124654e-08,3.008850264036073,3.004438714726283
1.3685874245025205e-08,3.009253893994261,3.004641797551213
1.4266210152607384e-08,3.0096743987644965,3.004853431010176
1.4871154628089537e-08,3.0101124733399933,3.0050739724464233
1.550175117335772e-08,3.010568840440108,3.005303793907061
1.615908753895919e-08,3.01104425153977,3.0055432827282966
1.6844297600423153e-08,3.0115394879305195,3.0057928421422604
1.7558563314144706e-08,3.012055361813528,3.006052891906066
1.830311675620613e-08,3.012592717424921,3.0063238689537424
1.907924224765265e-08,3.013152432193658,3.006606228071713
1.988827856988812e-08,3.0137354179321556,3.0069004425984627
2.073162127401231e-08,3.0143426220597425,3.0072070051490556
2.1610725088083766e-08,3.0149750288589683,3.0075264283651695
2.2527106426459828e-08,3.0156336607646645,3.007859245691281
2.3482346005542764e-08,3.0163195796855535,3.0082060121776637
2.4478091570444402e-08,3.01703388835808,3.0085673053108257
2.5516060737271865e-08,3.0177777317319956,3.0089437258720095
2.6598043955937583e-08,3.0185522983870787,3.009335898824368
2.772590759860481e-08,3.0193588219802177,3.009744474229394
2.8901597179095115e-08,3.0201985827218856,3.010170128193172
3.012714070881164e-08,3.0210729088808637,3.0106135638429805
3.1404652194967493e-08,3.021983178315834,3.0110755123347452
3.2736335287152474e-08,3.0229308200322547,3.0115567338918035
3.4124487078528896e-08,3.0239173157626564,3.0120580188753907
3.557150206821382e-08,3.0249442015682546,3.0125801888872066
3.707987629168172e-08,3.026013069459458,3.0131240979043707
3.865221162631262e-08,3.027125569032558,3.0136906334469904
4.029122027951352e-08,3.0282834091195343,3.0142807177785067
4.1999729467153065e-08,3.0294883594475643,3.014895309138889
4.378068629038167e-08,3.03074225230442,3.015535403010658
4.563716281924763e-08,3.0320469842055435,3.0162020334176125
4.7572361391878896e-08,3.0334045175581377,3.0168962742560166
4.9589620138372216e-08,3.034816882317142,3.0176192406578806
5.169241873891604e-08,3.036286177627475,3.018372090385826
5.3884384426082234e-08,3.037814573446374,3.019156025258871
5.616929824163815e-08,3.039404312139126,3.0199722926083017
5.855110155867244e-08,3.041057710040871,3.0208221867626164
6.103390288028621e-08,3.042777158976528,3.021707050560325
6.362198492657495e-08,3.0445651277302406,3.0226282768891646
6.631981202212676e-08,3.0464241634550127,3.0235873102500657
6.913203779678128e-08,3.048356893012473,3.024585648343941
7.206351321293059e-08,3.050366024231904,3.025624843679086
7.511929493320969e-08,3.052454347076834,3.0267065051967044
7.830465404301183e-08,3.0546247347065916,3.0278322999117258
8.162508514287236e-08,3.0568801444192677,3.0290039545657543
8.508631582640582e-08,3.059223618461511,3.0302232572886196
8.869431656014704e-08,3.0616582846894733,3.0314920592645955
9.24553109823358e-08,3.0641873570640246,3.0328122763989462
9.63757866384109e-08,3.0668141359993983,3.0341858909799955
1.0046250617173402e-07,3.0695420093222263,3.0356149533314496
1.0472251898884355e-07,3.0723744514050146,3.0371015834491875
1.0916317341936147e-07,3.0753150228842263,3.038647972616196
1.137921293915314e-07,3.078367370430595,3.040256384988756
1.1861737164524792e-07,3.0815352260110354,3.0419291591463757
1.236472235053715e-07,3.084822405871084,3.0436687095973283
1.2889036123908916e-07,3.0882328092161138,3.0454775282309683
1.3435582902208263e-07,3.0917704165682256,3.047358185707283
1.4005305453932226e-07,3.0954392877742065,3.0493133327733735
1.4599186524739772e-07,3.0992435596381096,3.0513457014957446
1.521825053264387e-07,3.103187443149789,3.0534581063964366
1.586356533508593e-07,3.1072752202779728,3.0556534454801003
1.653624407094179e-07,3.1115112410608106,3.0579347011381537
1.72374470806362e-07,3.115900195587157,3.0603049409151044
1.796838390767723e-07,3.120446816732321,3.0627673181209816
1.8730315385064384e-07,3.1251556875894435,3.0653250722726098
1.952455581016861e-07,3.130031444622752,3.0679815296278172
2.03524752118358e-07,3.135078771962353,3.0707401038355164
2.1215501713624524e-07,3.140302395109818,3.0736042947117146
2.2115123997254887e-07,3.1457070740052635,3.0765776884180913
2.3052893870517107e-07,3.1512975953960214,3.0796639569513387
2.4030428944069694e-07,3.157078767249223,3.0828668573233347
2.5049415421745024e-07,3.1630554145417937,3.0861902304553253
2.6111611009174624e-07,3.1692323502430173,3.0896379997639154
2.7218847945751796e-07,3.1756143798430494,3.0932141694153072
2.837303616516211e-07,3.1822062935595783,3.096922822222578
2.9576166589932564e-07,3.1890128562156157,3.10076811715886
3.083031456568277e-07,3.1960387964381143,3.104754286456876
3.2137643441002754e-07,3.2032887950781044,3.108885632262362
3.3500408299131363e-07,3.2107674727137203,3.113166569824743
3.4920959847872715e-07,3.2184793760455555,3.1176019116340634
3.640174847446138e-07,3.2264289629259673,3.122196274135873
3.7945328472369423e-07,3.234620585676198,3.126954256642947
3.9554362447347016e-07,3.2430584722326325,3.1318805101806526
4.123162591029748e-07,3.2517467142032292,3.1369797316061296
4.298001206490799e-07,3.2606892854600447,3.1422566571230974
4.4802536798294986e-07,3.269889993221151,3.147716055139755
4.6702343883273306e-07,3.279352474271954,3.1533627184056625
4.868271040122284e-07,3.2890801775476226,3.1592014624857994
5.074705239490476e-07,3.2990759518151056,3.165237108619172
5.289893076098146e-07,3.30934428559409,3.17147446708255
5.514205739240302e-07,3.3198900325074456,3.177918339579767
5.748030158125363e-07,3.330716563587296,3.1845735095827092
5.991769669310613e-07,3.341826226504969,3.19144473200589
6.245844712439618e-07,3.353221417520158,3.198536722171985
6.510693555481468e-07,3.3649041924002603,3.2058541439573918
6.786773050723302e-07,3.3768763234947246,3.213401596963896
7.074559422819878e-07,3.389139299697504,3.2211836025058953
7.374549090259561e-07,3.401694237572472,3.229204588128997
7.687259521663735e-07,3.414541957939414,3.237468870280765
8.013230128396886e-07,3.4276829882312385,3.245980634632843
8.353023195026787e-07,3.4411175361500868,3.254743939036639
8.707224849239922e-07,3.4548454494176717,3.263762710672111
9.076446072885357e-07,3.468865982970182,3.2730407058818645
9.461323755890779e-07,3.483177443798604,3.2825815071559945
9.862521794868784e-07,3.497781519181537,3.2923884135919903
1.0280732238308647e-06,3.5126799669386273,3.302464461730574
1.0716676480328645e-06,3.527873346793709,3.3128146941274044
1.1171106505048242e-06,3.543360365407296,3.3234435393592716
1.1644806183726854e-06,3.5591385404855203,3.334353850404104
1.213859262690629e-06,3.575205370260089,3.345548022649693
1.265331759388943e-06,3.5915578951771807,3.3570283468569273
1.3189868961986691e-06,3.6081928142800628,3.368796794993733
1.3749172258064205e-06,3.6251064337134697,3.3808550581330388
1.4332192255035739e-06,3.642294718072958,3.3932045155613864
1.4939934636052562e-06,3.6597533212294655,3.4058461879946345
1.5573447729261351e-06,3.677477584012835,3.41878081134624
1.6233824316122815e-06,3.6954645725983792,3.4320088209644775
1.6922203516410355e-06,3.713716732055937,3.445530321353367
1.7639772753140453e-06,3.7322330861220956,3.4593450403529347
1.8387769800823306e-06,3.751007186851198,3.473451753019011
1.916748492056813e-06,3.7700334110778093,3.48784963477143
1.9980263085725506e-06,3.7893058340647663,3.5025408044611748
2.0827506301905185e-06,3.8088182885556106,3.517526698811615
2.171067602537267e-06,3.828564220163645,3.532807366065759
2.2631295683995294e-06,3.8485369972420815,3.5483808983918905
2.359095330508639e-06,3.8687298748935284,3.564244875488032
2.4591304254680463e-06,3.8891385707424244,3.5803966310957223
2.563407409296515e-06,3.909768102038807,3.596833112782821
2.672106155079438e-06,3.93061357942118,3.6135508983280933
2.785414163241769e-06,3.951668479832082,3.6305461937521546
2.903526884977814e-06,3.972925425535248,3.647814857865853
3.026648059395695e-06,3.994376890282774,3.665352463859002
3.1549900649580885e-06,4.0160151758861735,3.6831543320902838
3.2887742858255102e-06,4.037832782447501,3.7012195331549425
3.4282314937339742e-06,4.059822220344286,3.719550327045622
3.5736022460657885e-06,4.081979292942487,3.7381436586444217
3.7251373008002097e-06,4.104310334846395,3.756992923768835
3.883098049059609e-06,4.126810648157171,3.7760925515604824
4.047756965997322e-06,4.149473509464803,3.795436538467871
4.219398080805024e-06,4.172290792363154,3.815018607816454
4.398317466650229e-06,4.195254777296326,3.834832146236881
4.5848237513890964e-06,4.218357848781263,3.85487051567835
4.779238649935595e-06,4.2415918655383695,3.8751268788541835
4.9818975192051655e-06,4.2649511151373805,3.895600681226992
5.193149936590212e-06,4.288441029716063,3.916294685779463
5.413360302965375e-06,4.312062303335472,3.9372027335681232
5.642908471262543e-06,4.335808622893988,3.958318077329178
5.882190401699968e-06,4.359672568669682,3.9796331532931575
6.131618844795769e-06,4.383646813790045,4.001140441997179
6.391624053344005e-06,4.407724023186024,4.022832260352474
6.662654524581163e-06,4.431897078303553,4.044701160139694
6.945177773823689e-06,4.456157866412234,4.066739549268749
7.239681140910877e-06,4.480515319913227,4.088947782826381
7.5466726308439024e-06,4.504973486285643,4.111329397227151
7.86668179007159e-06,4.529524525936701,4.133878403064669
8.200260619934131e-06,4.554161841210325,4.156587580161698
8.547984528840423e-06,4.578878639957582,4.179448795385302
8.910453324821521e-06,4.603668186976728,4.202454391165299
9.2882922501725e-06,4.628524216905019,4.225596795468778
9.682153059967095e-06,4.653443474608319,4.248867346265273
1.0092715146305718e-05,4.678432823932127,4.272264462401092
1.052068671023623e-05,4.703495154884455,4.295793394753077
1.0966805983368697e-05,4.728625827668787,4.319452277073038
1.1431842501291502e-05,4.753816946590841,4.343233919272605
1.1916598430985588e-05,4.779062806933458,4.367130975592687
1.2421909954526187e-05,4.804357371295495,4.391136111966213
1.2948648711459049e-05,4.829693842489536,4.415242021920088
1.3497723302339418e-05,4.855078043482,4.439441547740056
1.4070080856026865e-05,4.880515629293699,4.4637277496486645
1.4666708663439686e-05,4.906005093460714,4.488115100017386
1.5288635880587294e-05,4.931540939336675,4.5126013388734645
1.593693530381776e-05,4.957117772300951,4.53717840616083
1.661272522034293e-05,4.982730262845808,4.561839713426131
1.7317171337233562e-05,5.008373144033566,4.586578411309155
1.80514887922111e-05,5.0340421618238995,4.611387932005947
1.8816944249705557e-05,5.059747299692189,4.636262018646165
1.9614858085794333e-05,5.085493170398947,4.661201215650408
2.0446606665791178e-05,5.111274651247967,4.6862121480424825
2.1313624718414377e-05,5.137086711452852,4.711295421196152
2.2217407810628868e-05,5.1629245605027645,4.736444372925317
2.3159514927431545e-05,5.1887834230181475,4.761652043963849
2.414157116103018e-05,5.214658663219811,4.786912681656342
2.516527051405394e-05,5.240551680542452,4.812219698469349
2.6232378821631235e-05,5.2664763888554,4.837568335936812
2.7344736797375798e-05,5.292428630084187,4.862967275360989
2.8504263208534375e-05,5.318403803453235,4.888420775970919
2.9712958185773343e-05,5.344397556539649,4.913924497341723
3.097290667331413e-05,5.370405333906785,4.93947283520217
3.2286282025367336e-05,5.39642322622072,4.965060430483443
3.365534975507094e-05,5.422449639813653,4.990682223956287
3.508247144239796e-05,5.448495298752748,5.016331190243802
3.6570108807774935e-05,5.474561574601693,5.0420111405684365
3.812082795843888e-05,5.50064583332939,5.067729285526424
3.973730381485612e-05,5.526743194855213,5.093486131412475
4.142232472483898e-05,5.552849670345893,5.119276974852031
4.317879727332022e-05,5.578961668956756,5.14509691958472
4.500975129608051e-05,5.605075752765704,5.170941211692492
4.691834510607799e-05,5.631197621962805,5.196805098905812
4.89078709413959e-05,5.6573365664269915,5.222684332525507
5.09817606442043e-05,5.683489299600099,5.248587122654867
5.3143591580532414e-05,5.709651102833903,5.274520293079897
5.5397092811064e-05,5.735818619935837,5.3004796190575965
5.774615152359826e-05,5.761988315712418,5.326460459291573
6.0194819738272745e-05,5.788156644849344,5.352458516052907
6.274732129711588e-05,5.81432412736371,5.378469474364725
6.54080591499826e-05,5.8405045113736715,5.404489244711649
6.818162294944479e-05,5.866694722292937,5.430519194093517
7.107279696773427e-05,5.892891463728981,5.456570930138528
7.408656834939567e-05,5.919091212934939,5.482643249976908
7.722813571388642e-05,5.94529067726642,5.508731497507532
8.05029181229599e-05,5.97148701737567,5.534831749726127
8.391656442830161e-05,5.99767917445454,5.56094006491045
8.747496301554415e-05,6.023874561209316,5.587052561120302
9.118425196146581e-05,6.050078405428817,5.613167818584635
9.505082962189511e-05,6.076287370572436,5.63929563819294
9.908136566858666e-05,6.102497156168991,5.6654391926829115
0.00010328281259410296,6.128705021437911,5.691594684495966
0.00010766241770454933,6.154907801323706,5.717758418753301
0.00011222773562085094,6.181102116147001,5.743926560404508
0.00011698664131013081,6.207296562313049,5.7700959571568005
0.00012194734366967383,6.233496738298294,5.796263657219276
